ID,Ime,TrznaVrednost,Starost,Visina,Drzavljanstvo,MocnejsaNoga,Liga
44058,Wojciech Szczesny,25.0,31,196,Poland,right,IT1
44068,Juan Mata,4.0,33,170,Spain,left,GB1
44136,Domenico Criscito,1.5,34,183,Italy,left,IT1
44162,Miralem Pjanić,20.0,31,178,Bosnia-Herzegovina,right,ES1
44327,Andrea Ranocchia,1.0,33,195,Italy,right,IT1
44352,Luis Suárez,15.0,34,182,Uruguay,right,ES1
44420,Stefan Radu,2.0,34,183,Romania,left,IT1
44466,Sebastian Rode,4.0,30,179,Germany,right,L1
44501,Marcelo,7.5,33,174,Brazil,left,ES1
44686,Yannick Cahuzac,0.4,36,178,France,right,FR1
44948,Fernando Forestieri,0.9,31,172,Italy,right,IT1
44983,Dan Gosling,1.5,31,180,England,right,GB1
45026,Rui Patrício,10.0,33,190,Portugal,left,IT1
45314,Federico Fazio,0.8,34,195,Argentina,right,IT1
45320,Ángel Di María,20.0,33,180,Argentina,left,FR1
45389,Samuel Di Carmine,1.2,32,187,Italy,right,IT1
45494,Wayne Hennessey,1.0,34,197,Wales,right,GB1
45581,Joel Obi,0.6,30,178,Nigeria,left,IT1
45660,Eric Maxim Choupo-Moting,3.5,32,191,Cameroon,right,L1
45671,Cenk Tosun,5.0,30,183,Turkey,right,GB1
45672,Kevin Trapp,6.5,31,189,Germany,right,L1
45683,Manuel Gulde,2.4,30,184,Germany,right,L1
46001,Moussa Sissoko,10.0,32,187,France,right,GB1
46104,Stevan Jovetic,5.0,31,183,Montenegro,right,L1
46105,Ivan Radovanovic,1.3,32,187,Serbia,right,IT1
46156,Aleksandar Kolarov,1.5,35,187,Serbia,left,IT1
46413,Ante Budimir,9.0,30,190,Croatia,left,ES1
46580,Andrej Kramaric,28.0,30,177,Croatia,right,L1
46972,Teemu Pukki,7.0,31,180,Finland,right,GB1
47513,Mato Jajalo,0.4,33,182,Bosnia-Herzegovina,right,IT1
47587,Tony Jantschke,1.4,31,177,Germany,right,L1
47713,Mamadou Sakho,6.0,31,187,France,left,FR1
48002,Angelo Ogbonna,2.5,33,191,Italy,left,GB1
48015,Lukas Hradecky,6.0,31,192,Finland,right,L1
48280,Edinson Cavani,6.0,34,184,Uruguay,right,GB1
48298,Lars Stindl,5.0,32,181,Germany,right,L1
48859,Simon Kjaer,10.0,32,191,Denmark,right,IT1
49275,Albin Ekdal,3.0,32,186,Sweden,right,IT1
49499,Georginio Wijnaldum,30.0,30,175,Netherlands,right,FR1
49723,Timothy Chandler,1.5,31,186,United States,right,L1
49755,Dale Stephens,2.5,32,185,England,right,GB1
50057,Aaron Ramsey,14.0,30,182,Wales,both,IT1
50174,Danny Rose,3.0,31,173,England,left,GB1
50201,Christian Benteke,9.0,30,190,Belgium,right,GB1
50202,Eden Hazard,40.0,30,175,Belgium,both,ES1
